noteID,onset_time,offset_time,spelled_pitch,onset_velocity,offset_velocity,channel
395,0.0,3.75,C#3,80,80,1
397,0.0,3.75,A3,80,80,1
396,0.0,3.75,E3,80,80,1
0,0.5,1.0,C#5,80,80,0
1,1.0,1.5,C#5,80,80,0
2,1.5,2.0,B4,80,80,0
3,2.0,4.0,C#5,80,80,0
398,4.0,7.75,E-3,80,80,1
399,4.0,7.75,F#3,80,80,1
400,4.0,7.75,B3,80,80,1
4,4.0,4.5,C#5,80,80,0
5,4.5,5.0,C#5,80,80,0
6,5.0,5.5,A4,80,80,0
7,5.5,6.0,C#5,80,80,0
8,6.0,8.0,B4,80,80,0
403,8.0,11.75,A3,80,80,1
402,8.0,11.75,F#3,80,80,1
401,8.0,11.75,D3,80,80,1
9,8.5,8.75,A4,80,80,0
10,8.75,9.0,B4,80,80,0
11,9.0,9.5,C#5,80,80,0
12,9.5,9.75,A4,80,80,0
13,9.75,10.0,B4,80,80,0
14,10.0,10.5,C#5,80,80,0
15,10.5,10.75,A4,80,80,0
16,10.75,11.0,B4,80,80,0
17,11.0,11.5,C#5,80,80,0
18,11.5,12.0,A4,80,80,0
405,12.0,15.75,E3,80,80,1
19,12.0,12.5,A4,80,80,0
404,12.0,15.75,C#3,80,80,1
406,12.0,15.75,A3,80,80,1
407,16.0,19.75,C#3,80,80,1
408,16.0,19.75,E3,80,80,1
409,16.0,19.75,A3,80,80,1
20,17.0,17.25,C#5,80,80,0
21,17.25,17.5,E5,80,80,0
22,17.5,18.5,F#5,80,80,0
23,18.5,19.5,A5,80,80,0
24,19.5,19.75,F#5,80,80,0
25,19.75,20.0,E5,80,80,0
410,20.0,23.75,E-3,80,80,1
26,20.0,21.0,F#5,80,80,0
411,20.0,23.75,F#3,80,80,1
412,20.0,23.75,B3,80,80,1
27,21.0,21.5,C#5,80,80,0
28,21.5,22.0,B4,80,80,0
29,22.0,24.0,A4,80,80,0
413,24.0,27.75,D3,80,80,1
415,24.0,27.75,A3,80,80,1
414,24.0,27.75,F#3,80,80,1
30,24.5,24.75,A4,80,80,0
31,24.75,25.0,B4,80,80,0
32,25.0,25.5,C#5,80,80,0
33,25.5,25.75,A4,80,80,0
34,25.75,26.0,B4,80,80,0
35,26.0,26.5,C#5,80,80,0
36,26.5,26.75,A4,80,80,0
37,26.75,27.0,B4,80,80,0
38,27.0,27.5,C#5,80,80,0
39,27.5,28.0,A4,80,80,0
417,28.0,31.75,E3,80,80,1
418,28.0,31.75,A3,80,80,1
40,28.0,28.5,A4,80,80,0
416,28.0,31.75,C#3,80,80,1
419,32.0,35.75,C#3,80,80,1
420,32.0,35.75,F#3,80,80,1
421,32.0,35.75,A3,80,80,1
41,34.0,35.0,F#5,80,80,0
42,35.0,35.5,E5,80,80,0
43,35.5,36.0,C#5,80,80,0
422,36.0,39.75,C#3,80,80,1
423,36.0,39.75,F3,80,80,1
424,36.0,39.75,G#3,80,80,1
44,36.0,36.5,C#5,80,80,0
45,36.5,37.0,A4,80,80,0
46,37.0,38.0,B4,80,80,0
427,40.0,43.75,A3,80,80,1
426,40.0,43.75,E3,80,80,1
425,40.0,43.75,C#3,80,80,1
47,40.5,41.5,B5,80,80,0
48,41.5,41.75,A5,80,80,0
49,41.75,42.0,F#5,80,80,0
50,42.0,43.0,F#5,80,80,0
51,43.0,43.25,C#5,80,80,0
52,43.25,43.5,A4,80,80,0
53,43.5,44.0,C#5,80,80,0
430,44.0,47.75,B3,80,80,1
428,44.0,47.75,E-3,80,80,1
429,44.0,47.75,F#3,80,80,1
54,44.0,46.0,B4,80,80,0
55,47.5,48.0,A4,80,80,0
432,48.0,52.0,F#3,80,80,1
56,48.0,48.5,C#5,80,80,0
431,48.0,52.0,D3,80,80,1
433,48.0,52.0,A3,80,80,1
57,48.5,49.0,C#5,80,80,0
58,49.0,49.5,B4,80,80,0
59,49.5,50.5,C#5,80,80,0
60,50.5,51.0,E5,80,80,0
61,51.0,51.5,C#5,80,80,0
62,51.5,52.0,B4,80,80,0
436,52.0,55.5,A3,80,80,1
435,52.0,55.5,F#3,80,80,1
434,52.0,55.5,D3,80,80,1
63,52.0,53.75,B4,80,80,0
64,55.5,56.0,F#4,80,80,0
439,56.0,59.75,G#3,80,80,1
438,56.0,59.75,F3,80,80,1
437,56.0,59.75,C#3,80,80,1
65,56.0,57.0,C#5,80,80,0
66,57.0,57.5,A4,80,80,0
67,57.5,58.0,F#4,80,80,0
68,58.0,58.5,A4,80,80,0
69,58.5,59.0,B4,80,80,0
70,59.0,59.5,C#5,80,80,0
71,59.5,60.0,B4,80,80,0
442,60.0,63.75,B3,80,80,1
441,60.0,63.75,F#3,80,80,1
440,60.0,63.75,E-3,80,80,1
72,60.5,61.0,C#5,80,80,0
73,61.0,61.5,F#4,80,80,0
74,61.5,62.0,F#4,80,80,0
75,62.0,62.5,A4,80,80,0
76,62.5,63.0,B4,80,80,0
77,63.0,63.5,C#5,80,80,0
78,63.5,64.0,B4,80,80,0
444,64.0,66.0,E3,80,80,1
445,64.0,66.0,A3,80,80,1
79,64.0,65.0,F#5,80,80,0
443,64.0,66.0,C#3,80,80,1
80,65.0,65.5,E5,80,80,0
81,65.5,66.0,C#5,80,80,0
446,66.0,68.0,C#3,80,80,1
447,66.0,68.0,E3,80,80,1
448,66.0,68.0,A3,80,80,1
82,66.0,66.5,E5,80,80,0
83,66.5,67.0,F#5,80,80,0
84,67.0,67.5,C#5,80,80,0
85,67.5,68.0,B4,80,80,0
451,68.0,70.0,B3,80,80,1
450,68.0,70.0,F#3,80,80,1
449,68.0,70.0,E-3,80,80,1
86,68.5,69.0,C#5,80,80,0
87,69.0,69.5,F#4,80,80,0
88,69.5,70.0,F#4,80,80,0
454,70.0,72.0,B3,80,80,1
452,70.0,72.0,E-3,80,80,1
453,70.0,72.0,F#3,80,80,1
89,70.0,70.5,A4,80,80,0
90,70.5,71.0,B4,80,80,0
91,71.0,71.5,C#5,80,80,0
92,71.5,72.0,B4,80,80,0
456,72.0,74.0,E3,80,80,1
455,72.0,74.0,D3,80,80,1
457,72.0,74.0,G#3,80,80,1
458,72.0,74.0,B3,80,80,1
93,72.5,73.0,C#6,80,80,0
94,73.0,73.5,A5,80,80,0
95,73.5,74.0,B5,80,80,0
462,74.0,76.0,B3,80,80,1
461,74.0,76.0,G#3,80,80,1
460,74.0,76.0,E3,80,80,1
459,74.0,76.0,D3,80,80,1
96,74.0,74.5,F#5,80,80,0
97,74.5,75.0,E5,80,80,0
98,75.0,75.5,E5,80,80,0
99,75.5,76.0,C#5,80,80,0
463,76.0,78.0,C#3,80,80,1
465,76.0,78.0,A3,80,80,1
464,76.0,78.0,E3,80,80,1
100,76.0,76.5,C#5,80,80,0
101,76.5,78.5,A4,80,80,0
466,78.0,80.0,C#3,80,80,1
467,78.0,80.0,E3,80,80,1
468,78.0,80.0,A3,80,80,1
469,80.0,82.0,C#3,80,80,1
471,80.0,82.0,A3,80,80,1
102,80.0,81.0,F#5,80,80,0
470,80.0,82.0,E3,80,80,1
103,81.0,81.5,E5,80,80,0
104,81.5,82.0,C#5,80,80,0
473,82.0,84.0,E3,80,80,1
472,82.0,84.0,C#3,80,80,1
474,82.0,84.0,A3,80,80,1
105,82.0,82.5,E5,80,80,0
106,82.5,83.0,F#5,80,80,0
107,83.0,83.5,C#5,80,80,0
108,83.5,84.0,B4,80,80,0
477,84.0,86.0,B3,80,80,1
476,84.0,86.0,F#3,80,80,1
475,84.0,86.0,E-3,80,80,1
109,84.5,85.0,C#5,80,80,0
110,85.0,85.5,F#4,80,80,0
111,85.5,86.0,F#4,80,80,0
479,86.0,88.0,F#3,80,80,1
480,86.0,88.0,B3,80,80,1
478,86.0,88.0,E-3,80,80,1
112,86.0,86.5,A4,80,80,0
113,86.5,87.0,B4,80,80,0
114,87.0,87.5,C#5,80,80,0
115,87.5,88.0,B4,80,80,0
481,88.0,90.0,D3,80,80,1
484,88.0,90.0,B3,80,80,1
483,88.0,90.0,G#3,80,80,1
482,88.0,90.0,E3,80,80,1
116,88.5,89.0,C#6,80,80,0
117,89.0,89.5,A5,80,80,0
118,89.5,90.0,B5,80,80,0
488,90.0,92.0,B3,80,80,1
487,90.0,92.0,G#3,80,80,1
119,90.0,90.5,F#5,80,80,0
486,90.0,92.0,E3,80,80,1
485,90.0,92.0,D3,80,80,1
120,90.5,91.0,E5,80,80,0
121,91.0,91.5,E5,80,80,0
122,91.5,92.0,B5,80,80,0
491,92.0,94.0,A3,80,80,1
490,92.0,94.0,E3,80,80,1
123,92.0,92.5,B5,80,80,0
489,92.0,94.0,C#3,80,80,1
124,92.5,94.5,A5,80,80,0
492,94.0,96.0,C#3,80,80,1
493,94.0,96.0,E3,80,80,1
494,94.0,96.0,A3,80,80,1
495,96.0,98.75,D3,80,80,1
497,96.0,98.75,F#3,80,80,1
496,96.0,98.75,E3,80,80,1
125,96.5,97.0,C#5,80,80,0
126,97.0,97.5,C#5,80,80,0
127,97.5,98.0,C#5,80,80,0
128,98.0,98.5,C#5,80,80,0
129,98.5,99.0,B4,80,80,0
130,99.0,99.5,A4,80,80,0
131,99.5,100.0,B4,80,80,0
498,100.0,102.75,D3,80,80,1
500,100.0,102.75,G#3,80,80,1
499,100.0,102.75,F3,80,80,1
132,100.0,100.5,B4,80,80,0
133,100.5,102.5,A4,80,80,0
134,102.5,103.0,B4,80,80,0
135,103.0,103.5,F#4,80,80,0
136,103.5,104.0,A4,80,80,0
503,104.0,106.75,A3,80,80,1
137,104.0,105.75,A4,80,80,0
501,104.0,106.75,C#3,80,80,1
502,104.0,106.75,E3,80,80,1
138,108.5,109.0,C#5,80,80,0
139,109.0,109.5,C#5,80,80,0
140,109.5,110.0,B4,80,80,0
141,110.0,112.0,C#5,80,80,0
506,112.0,114.0,B3,80,80,1
142,112.0,112.5,C#5,80,80,0
505,112.0,114.0,F#3,80,80,1
504,112.0,114.0,E-3,80,80,1
143,112.5,113.0,C#5,80,80,0
144,113.0,113.5,A4,80,80,0
145,113.5,114.0,C#5,80,80,0
146,114.0,116.0,B4,80,80,0
507,114.0,116.0,E-3,80,80,1
508,114.0,116.0,F#3,80,80,1
509,114.0,116.0,B3,80,80,1
510,116.0,118.0,D3,80,80,1
513,116.0,118.0,B3,80,80,1
511,116.0,118.0,E3,80,80,1
512,116.0,118.0,G#3,80,80,1
147,116.5,116.75,A4,80,80,0
148,116.75,117.0,B4,80,80,0
149,117.0,117.5,C#5,80,80,0
150,117.5,117.75,A4,80,80,0
151,117.75,118.0,B4,80,80,0
516,118.0,120.0,G#3,80,80,1
515,118.0,120.0,E3,80,80,1
514,118.0,120.0,D3,80,80,1
152,118.0,118.5,C#5,80,80,0
517,118.0,120.0,B3,80,80,1
153,118.5,118.75,A4,80,80,0
154,118.75,119.0,B4,80,80,0
155,119.0,119.5,C#5,80,80,0
156,119.5,120.0,A4,80,80,0
518,120.0,122.0,C#3,80,80,1
157,120.0,120.5,A4,80,80,0
520,120.0,122.0,A3,80,80,1
519,120.0,122.0,E3,80,80,1
158,121.0,121.5,F#5,80,80,0
159,121.5,122.0,A5,80,80,0
522,122.0,124.0,E3,80,80,1
160,122.0,123.0,F#5,80,80,0
521,122.0,124.0,C#3,80,80,1
523,122.0,124.0,A3,80,80,1
161,123.0,123.5,E5,80,80,0
162,123.5,124.0,F#5,80,80,0
524,124.0,126.0,C#3,80,80,1
525,124.0,126.0,E3,80,80,1
526,124.0,126.0,A3,80,80,1
163,124.0,125.0,C#5,80,80,0
164,125.0,125.25,E5,80,80,0
165,125.25,125.5,A5,80,80,0
166,125.5,126.5,F#5,80,80,0
527,126.0,128.0,C#3,80,80,1
528,126.0,128.0,E3,80,80,1
529,126.0,128.0,A3,80,80,1
167,126.5,127.5,E5,80,80,0
168,127.5,127.75,E5,80,80,0
169,127.75,128.0,C#5,80,80,0
170,128.0,129.0,C#5,80,80,0
530,128.0,130.0,E-3,80,80,1
531,128.0,130.0,F#3,80,80,1
532,128.0,130.0,B3,80,80,1
171,129.0,129.5,C#5,80,80,0
172,129.5,130.0,B4,80,80,0
173,130.0,130.5,A4,80,80,0
535,130.0,132.0,B3,80,80,1
534,130.0,132.0,F#3,80,80,1
533,130.0,132.0,E-3,80,80,1
174,130.5,132.0,B4,80,80,0
538,132.0,134.0,G#3,80,80,1
537,132.0,134.0,E3,80,80,1
539,132.0,134.0,B3,80,80,1
536,132.0,134.0,D3,80,80,1
175,132.5,132.75,A4,80,80,0
176,132.75,133.0,B4,80,80,0
177,133.0,133.5,C#5,80,80,0
178,133.5,133.75,A4,80,80,0
179,133.75,134.0,B4,80,80,0
541,134.0,136.0,E3,80,80,1
542,134.0,136.0,G#3,80,80,1
543,134.0,136.0,B3,80,80,1
180,134.0,134.5,C#5,80,80,0
540,134.0,136.0,D3,80,80,1
181,134.5,134.75,A4,80,80,0
182,134.75,135.0,B4,80,80,0
183,135.0,135.5,C#5,80,80,0
184,135.5,136.0,A4,80,80,0
545,136.0,138.0,E3,80,80,1
185,136.0,136.5,A4,80,80,0
544,136.0,138.0,C#3,80,80,1
546,136.0,138.0,A3,80,80,1
547,138.0,140.0,C#3,80,80,1
549,138.0,140.0,A3,80,80,1
548,138.0,140.0,E3,80,80,1
550,140.0,143.75,C#3,80,80,1
551,140.0,143.75,F#3,80,80,1
552,140.0,143.75,A3,80,80,1
186,142.0,143.0,F#5,80,80,0
187,143.0,143.5,E5,80,80,0
188,143.5,144.0,C#5,80,80,0
553,144.0,147.75,C#3,80,80,1
554,144.0,147.75,F3,80,80,1
555,144.0,147.75,G#3,80,80,1
189,144.0,144.5,C#5,80,80,0
190,144.5,145.0,A4,80,80,0
191,145.0,146.0,B4,80,80,0
556,148.0,151.75,C#3,80,80,1
558,148.0,151.75,A3,80,80,1
557,148.0,151.75,E3,80,80,1
192,148.5,149.5,B5,80,80,0
193,149.5,149.75,A5,80,80,0
194,149.75,150.0,F#5,80,80,0
195,150.0,151.0,F#5,80,80,0
196,151.0,151.25,C#5,80,80,0
197,151.25,151.5,A4,80,80,0
198,151.5,152.0,C#5,80,80,0
561,152.0,155.75,B3,80,80,1
199,152.0,154.0,B4,80,80,0
559,152.0,155.75,E-3,80,80,1
560,152.0,155.75,F#3,80,80,1
200,155.5,156.0,A4,80,80,0
201,156.0,156.5,C#5,80,80,0
562,156.0,160.0,D3,80,80,1
563,156.0,160.0,F#3,80,80,1
564,156.0,160.0,A3,80,80,1
202,156.5,157.0,C#5,80,80,0
203,157.0,157.5,B4,80,80,0
204,157.5,158.5,C#5,80,80,0
205,158.5,159.0,E5,80,80,0
206,159.0,159.5,C#5,80,80,0
207,159.5,160.0,B4,80,80,0
567,160.0,163.5,A3,80,80,1
566,160.0,163.5,F#3,80,80,1
565,160.0,163.5,D3,80,80,1
208,160.0,161.75,B4,80,80,0
209,163.5,164.0,F#4,80,80,0
570,164.0,167.75,G#3,80,80,1
569,164.0,167.75,F3,80,80,1
568,164.0,167.75,C#3,80,80,1
210,164.0,165.0,C#5,80,80,0
211,165.0,165.5,A4,80,80,0
212,165.5,166.0,F#4,80,80,0
213,166.0,166.5,A4,80,80,0
214,166.5,167.0,B4,80,80,0
215,167.0,167.5,C#5,80,80,0
216,167.5,168.0,B4,80,80,0
572,168.0,172.0,F#3,80,80,1
571,168.0,172.0,E-3,80,80,1
573,168.0,172.0,B3,80,80,1
217,168.5,169.0,C#5,80,80,0
